Dataset,Species,Resonance,Area mean,Area std. dev.,Area coeff. var. (%),Area minimum,Area median,Area maximum
1,TMU,2.82 s,0.007430452679732243,0.0003810179613738798,5.127789352769417,0.006940473791287974,0.007483622052864293,0.007814092821912413
1,solvent,2.00 s,0.015121426970534644,0.0007263467043388857,4.803426989755878,0.014194272658371015,0.015225786862876522,0.015839861498014522
1,vanillin,H1,0.004882182848538424,0.00023042415877128943,4.719695388718826,0.004581204987790619,0.004941111528062533,0.005065303350238012
1,vanillin,H2,0.0034123219761431883,0.00018891230106119066,5.536180418552141,0.003158645031900352,0.003454344958156246,0.0035819529563599073
1,vanillin,H3,0.004716947770801865,0.00016954965839343256,3.594478180211219,0.00448913256752318,0.004753284387941316,0.004872089739801645
1,vanillin,H4,0.002457258322111823,0.00012822075422318989,5.218041305197172,0.0022836303497464094,0.0024849088673078324,0.002575585204085217
1,vanillin,H5,0.007924959795759648,0.0003628722476773141,4.578852852622338,0.007466477914888489,0.007975697099326974,0.008281967069496157
4,TMU,2.82 s,0.007270608233800539,0.00008674876465296698,1.1931431575377442,0.007180213564409091,0.007231011760340929,0.0074004452324697755
4,solvent,2.00 s,0.014289837554738106,0.00019580070669826527,1.3702094649308543,0.014104744367461284,0.01418897295927588,0.014527904898824547
4,vanillin,H1,0.005156231393215582,0.00005582875654467457,1.0827434280418915,0.005088748543405906,0.005150782477438133,0.005240311761300909
4,vanillin,H2,0.0030943199126006763,0.00003006326471536542,0.9715629141299167,0.0030507822537410674,0.0031006327669503126,0.0031328842072720184
4,vanillin,H3,0.004651225550488159,0.00009788346691409621,2.104466142344421,0.004546868046561703,0.004645741459173473,0.004809677502092222
4,vanillin,H4,0.0023120741032528896,0.00004907847173233704,2.122703232707284,0.0022507984532049467,0.002312999011712912,0.0023790850209493286
4,vanillin,H5,0.007224703686776271,0.00008133096041725382,1.1257342023053187,0.00713956729427216,0.007210133888298924,0.007350860809262978
8,TMU,2.82 s,0.0071445549874208135,0.00007419355005858302,1.0384628600271564,0.007080167444587956,0.007131731854064789,0.007266818218723268
8,solvent,2.00 s,0.014171293843744322,0.0001876360280318708,1.3240571404473385,0.013992454615625602,0.014097498394560771,0.014478859662601661
8,vanillin,H1,0.004384513422517385,0.00005260186687860268,1.1997195996357817,0.004349931448869525,0.004370456216284263,0.004476311753190289
8,vanillin,H2,0.0031633385942616368,0.00007232274652383432,2.2862790172076206,0.0031111332746215706,0.0031229188365804283,0.003279329822824282
8,vanillin,H3,0.004687549030411395,0.00005541397916369162,1.1821525237215131,0.004624408848714529,0.00468728846318805,0.004775351204117665
8,vanillin,H4,0.0023983442108869305,0.00006735222394787941,2.8082801310230576,0.002340708554529757,0.0023855850821804243,0.002507400205795721
8,vanillin,H5,0.007658578639491963,0.00008151251798346416,1.0643295815118947,0.007589719371074111,0.007631424462982456,0.007798736354988296
HR,TMU,2.82 s,0.007145421454942912,0.00011023444008371187,1.5427283160107534,0.007018657968831394,0.007198808413248076,0.007218797982749266
HR,solvent,2.00 s,0.014111127517522493,0.000250530070232076,1.775407882332438,0.013822900272402091,0.01423381434685046,0.014276667933314927
HR,vanillin,H1,0.0023115959720467864,0.00008704842399830338,3.765728312860269,0.0022246506379070526,0.002311390157296815,0.0023987471209364914
HR,vanillin,H2,0.003258380514902554,0.000022576114931589076,0.6928630596805616,0.0032362933703054524,0.0032574324443585094,0.0032814157300436997
HR,vanillin,H3,0.005406135218232982,0.0000749804064305207,1.3869502593578922,0.00533129395627044,0.005405857699665809,0.005481253998762696
HR,vanillin,H4,0.003467520380049742,0.000059723510682236534,1.7223694206919062,0.0034278060849184237,0.003438551522250656,0.0035362035329801465
HR,vanillin,H5,0.006867360949158088,0.0001231384645621796,1.7930973116721916,0.006725178757444463,0.006937334134301309,0.006939569955728493
K,TMU,2.82 s,0.008098692491767636,0.00008491474964329223,1.0484994921045405,0.008005385941923187,0.008119251121183986,0.008171440412195733
K,solvent,2.00 s,0.01668671541242712,0.00012502455600940142,0.74924604944297,0.016550527495710544,0.016713327108182612,0.016796291633388204
K,vanillin,H1,0.0023059076798442025,0.00004897948987777384,2.1240872002769473,0.0022563925533260767,0.0023069971292555705,0.0023543333569509602
K,vanillin,H2,0.0034033339501549453,0.00007908967228960715,2.3238880887961755,0.0033122055790002947,0.0034437124592187735,0.0034540838122457673
K,vanillin,H3,0.004365275182315667,0.000013347841322892807,0.30577319333651076,0.004350540177921222,0.0043687280195076955,0.004376557349518083
K,vanillin,H4,0.0024969517083312273,0.00007864350354390727,3.149580477728446,0.002432575692169025,0.0024736726355717663,0.0025846067972528906
K,vanillin,H5,0.007254524464557666,0.0000828925291102029,1.1426321534261605,0.007161157979801403,0.007282954049070056,0.007319461364801541
