Dataset,Species,Resonance,Ratio mean,Ratio std. dev.,Ratio coeff. var. (%),Ratio minimum,Ratio median,Ratio maximum
1,TMU,2.82 s,1.0,0.0,0.0,1.0,1.0,1.0
1,solvent,2.00 s,2.03532275714643,0.007470903906832868,0.3670623679021429,2.0270889864010972,2.034528709372874,2.0451446234388735
1,vanillin,H1,0.657173527856549,0.0064469609555292285,0.9810134891703218,0.6482266675964997,0.6586366490695602,0.663194145690576
1,vanillin,H2,0.45916286284298624,0.003135611910986246,0.6828975434928606,0.4551051018829924,0.4596680123299257,0.46221032482910124
1,vanillin,H3,0.6352399098097816,0.013221755034144134,2.0813797795077615,0.6162016909438436,0.6389765161513186,0.6468049159926461
1,vanillin,H4,0.330690324552926,0.0017203029200672237,0.5202156798488049,0.329030901696212,0.33044832921106515,0.3328337380933618
1,vanillin,H5,1.0667848487279084,0.006640314397085217,0.6224605087898918,1.0598756961616482,1.0657378856904975,1.0757879273689903
4,TMU,2.82 s,1.0,0.0,0.0,1.0,1.0,1.0
4,solvent,2.00 s,1.9654030039609462,0.008124245616618658,0.41336283704897053,1.9579872022916414,1.9631122780400743,1.979285937869684
4,vanillin,H1,0.7092100909900342,0.005081443059510371,0.7164933387251784,0.70170700126325,0.7087182710873439,0.7151991835621277
4,vanillin,H2,0.42563219668135216,0.005763667589330001,1.354142763228259,0.41897921943211625,0.42488739734193925,0.4333877819617281
4,vanillin,H3,0.6396813722831816,0.006634231565491066,1.0371150158416913,0.6332496945633533,0.6367981875723694,0.6499173159189873
4,vanillin,H4,0.3180003368555223,0.005405029501434595,1.6996930112971143,0.3112701967309241,0.31630556167524176,0.325183065497327
4,vanillin,H5,0.9937010167733579,0.004603662026995492,0.46328442351241855,0.9876526003255659,0.9932998053969451,0.9992059642943067
8,TMU,2.82 s,1.0,0.0,0.0,1.0,1.0,1.0
8,solvent,2.00 s,1.983466218404443,0.006893027067007438,0.3475242987779437,1.9762886577380827,1.9856836280634182,1.9924620689280845
8,vanillin,H1,0.6136861805542972,0.0036844942435384754,0.6003873576247953,0.6082484589756157,0.6133763014493995,0.6179944251538609
8,vanillin,H2,0.4427367598271485,0.007227682880760326,1.6325011918102594,0.4354285496257972,0.4394152114297389,0.4512745088868397
8,vanillin,H3,0.6561001912940856,0.003543598939831594,0.5401002753622482,0.6520700177699009,0.6571447173143493,0.6608807607813677
8,vanillin,H4,0.33563957894525515,0.005902494772451516,1.7585812707190438,0.3306007340714778,0.33450291331701437,0.34504787794681546
8,vanillin,H5,1.0719526452295614,0.004822088720665777,0.44984158042103756,1.0656429086431491,1.0719689089946105,1.0788870955679308
HR,TMU,2.82 s,1.0,0.0,0.0,1.0,1.0,1.0
HR,solvent,2.00 s,1.9748066930395272,0.007359742606971149,0.3726816722321003,1.9694506177373399,1.9717706993414903,1.9831987620397509
HR,vanillin,H1,0.3234557703726281,0.008604023858210777,2.66003102937343,0.31696239477494537,0.3201904476091913,0.33321446873374777
HR,vanillin,H2,0.45605335081051557,0.0044901497790362545,0.9845667773422094,0.45249606009291865,0.45456539134150675,0.46109860099712124
HR,vanillin,H3,0.7566098368164229,0.004914166242559921,0.6494980640533558,0.7509378482301776,0.7593028661920208,0.7595887960270702
HR,vanillin,H4,0.4853003063645238,0.006661449907215502,1.3726449004571377,0.4776556514440137,0.4883848308523792,0.4898604367971785
HR,vanillin,H5,0.9610610952783856,0.002755223318997857,0.2866855533466128,0.958185850815039,0.9613193183009078,0.9636781167192098
K,TMU,2.82 s,1.0,0.0,0.0,1.0,1.0,1.0
K,solvent,2.00 s,2.0604859797134334,0.013137255976423026,0.6375804594530713,2.0453342697375927,2.0674240587249564,2.068699610677751
K,vanillin,H1,0.28470525418145715,0.003167170398485827,1.1124383382356648,0.2818593094318709,0.2841391520994308,0.2881173010130697
K,vanillin,H2,0.42019963069018873,0.005932835713400127,1.411908835725365,0.4137471451132288,0.4214327322364234,0.425419014720914
K,vanillin,H3,0.5390552022490959,0.006648946640260561,1.2334444807357785,0.5346337731334913,0.5358302278113066,0.5467016058024897
K,vanillin,H4,0.308301513946402,0.008367787465729038,2.714157111529388,0.29960591880477466,0.30900104673498097,0.3162975762994502
K,vanillin,H5,0.8957592448094843,0.0012280248864761007,0.13709318587465819,0.8945425032288987,0.8957369809461465,0.896998250253408
